Player,Tm,Year,Rd,Pk,Age,Pos,College,From,To,G,WS,WS/48,BPM,VORP,MP,Pk_redraft_bpm,Pk_redraft_ws/48,Pk_redraft_vorp,Bust_steal
Duane Cooper,LAL,1992,2,36,23.005,G,University of Southern California,1993,1994,88,-0.5,-0.032,-8.6,-1.3,781,41,41,41,-3.7
Isaiah Morris,MIA,1992,2,37,23.089,F,University of Arkansas,1993,1993,25,0.0,-0.022,-7.9,-0.2,102,42,42,42,0.0
Elmer Bennett,ATL,1992,2,38,22.137,G,University of Notre Dame,1995,1997,21,-0.3,-0.095,-8.1,-0.2,159,43,43,43,0
Litterial Green,CHI,1992,2,39,22.115,G,University of Georgia,1993,1999,148,1.6,0.066,-4.8,-0.8,1189,37,28,30,5.8
Steve Rogers,NJN,1992,2,40,,,Alabama State University,,,,,,,,,44,44,44,0
Popeye Jones,HOU,1992,2,41,22.013,F,Murray State University,1994,2004,535,22.0,0.084,-1.1,2.8,12579,21,19,19,9.4
Matt Geiger,MIA,1992,2,42,22.293,C,Georgia Institute of Technology,1993,2002,552,28.4,0.112,-1.5,1.6,12221,23,8,22,8.2
Sasha Danilovic,GSW,1992,2,43,22.124,G,,1996,1997,75,4.2,0.087,-0.8,0.7,2331,18,17,25,7.3
Henry Williams,SAS,1992,2,44,,,University of North Carolina at Charlotte,,,,,,,,,45,45,45,0
Chris King,SEA,1992,2,45,22.341,F,Wake Forest University,1994,1999,103,1.0,0.023,-2.7,-0.4,2058,27,36,28,6.2
Robert Werdann,DEN,1992,2,46,21.291,C,St. John's University,1993,1997,47,0.1,0.026,-6.0,-0.3,273,46,46,46,0
Darren Morningstar,BOS,1992,2,47,23.069,C,University of Pittsburgh,1994,1994,23,0.4,0.048,-3.7,-0.2,367,47,47,47,0
Brian Davis,PHO,1992,2,48,22.009,F-G,Duke University,1994,1994,68,0.0,0.000,-6.5,-0.4,374,48,48,48,0
Ron Ellis,PHO,1992,2,49,,,Louisiana Tech University,,,,,,,,,49,49,49,0
Matt Fish,GSW,1992,2,50,22.224,C,University of North Carolina at Wilmington,1995,1997,50,0.6,0.058,-3.1,-0.1,512,50,50,50,0
Tim Burroughs,MIN,1992,2,51,,,Jacksonville University,,,,,,,,,51,51,51,0
Matt Steigenga,CHI,1992,2,52,22.095,F,Michigan State University,1997,1997,2,0.0,-0.126,-4.0,0.0,12,52,52,52,0
Curtis Blair,HOU,1992,2,53,,,University of Richmond,,,,,,,,,53,53,53,0
Brett Roberts,SAC,1992,2,54,,,Morehead State University,,,,,,,,,54,54,54,0
Chris Webber,ORL,1993,1,1,20.126,F-C,University of Michigan,1994,2008,831,84.7,0.132,3.9,45.9,30847,1,3,1,0.0
Shawn Bradley,PHI,1993,1,2,21.105,C,Brigham Young University,1994,2005,832,40.7,0.100,0.5,12.3,19531,7,10,7,-14.9
Anfernee Hardaway,GSW,1993,1,3,21.353,G-F,University of Memphis,1994,2008,704,61.9,0.125,2.6,27.2,23711,2,4,2,1.8
Jamal Mashburn,DAL,1993,1,4,20.218,F,University of Kentucky,1994,2004,611,43.7,0.092,0.2,12.9,22762,9,13,6,-5.6
Isaiah Rider,MIN,1993,1,5,22.116,G,University of Nevada Las Vegas,1994,2002,563,22.8,0.061,-1.2,3.6,17851,18,22,16,-10.2
Calbert Cheaney,WSB,1993,1,6,21.354,G-F,Indiana University,1994,2006,825,23.1,0.050,-2.1,-0.7,22007,21,23,22,-13.6
Bobby Hurley,SAC,1993,1,7,22.008,G,Duke University,1994,1998,269,-1.2,-0.014,-7.5,-5.8,4170,28,28,28,-18.1
Vin Baker,MIL,1993,1,8,21.225,F,University of Hartford,1994,2006,791,47.0,0.088,-0.4,10.4,25737,12,14,10,-1.1
Rodney Rogers,DEN,1993,1,9,22.016,F,Wake Forest University,1994,2005,866,38.8,0.085,0.5,13.8,21873,8,18,5,2.4
Lindsey Hunter,DET,1993,1,10,22.215,G,Jackson State University,1994,2010,937,32.9,0.068,-0.4,9.5,23253,13,19,12,-0.9
Allan Houston,DET,1993,1,11,22.077,G,University of Tennessee,1994,2005,839,55.3,0.094,-0.6,9.9,28311,16,11,11,0.0
George Lynch,LAL,1993,1,12,22.306,F,University of North Carolina,1994,2005,774,32.3,0.088,0.6,11.5,17683,6,15,8,2.0
Terry Dehere,LAC,1993,1,13,21.297,G,Seton Hall University,1994,1999,402,7.3,0.048,-3.4,-2.6,7305,25,24,26,-11.4
Scott Haskin,IND,1993,1,14,22.290,C-F,Oregon State University,1994,1994,27,0.3,0.087,-2.9,0.0,186,29,29,29,-14.5
Doug Edwards,ATL,1993,1,15,22.166,F,Florida State University,1994,1996,85,0.2,0.013,-4.6,-0.6,838,30,30,30,-11.9
Rex Walters,NJN,1993,1,16,23.116,G,University of Kansas,1994,2000,335,6.3,0.066,-3.3,-1.5,4602,24,20,24,-5.1
Greg Graham,CHH,1993,1,17,22.222,G,Indiana University,1994,1998,207,1.3,0.025,-4.4,-1.6,2530,26,26,25,-4.1
Luther Wright,UTA,1993,1,18,21.287,C,Seton Hall University,1994,1994,15,-0.1,-0.064,-10.1,-0.2,92,31,31,31,-8.2
Acie Earl,BOS,1993,1,19,23.013,F-C,University of Iowa,1994,1997,193,0.3,0.005,-6.9,-3.1,2512,27,27,27,-5.1
Scott Burrell,CHH,1993,1,20,22.175,G-F,University of Connecticut,1994,2001,383,16.4,0.104,1.2,6.1,7592,5,8,15,5.6
James Robinson,POR,1993,1,21,22.309,G,University of Alabama,1994,2001,381,5.8,0.040,-2.7,-1.2,6935,22,25,23,-0.7
Chris Mills,CLE,1993,1,22,23.162,F,University of Arizona,1994,2003,568,37.7,0.105,0.0,8.8,17282,10,7,13,9.5
Ervin Johnson,SEA,1993,1,23,25.198,C,University of New Orleans,1994,2006,845,37.8,0.107,0.0,8.7,16989,11,6,14,9.9
Sam Cassell,HOU,1993,1,24,23.230,G,Florida State University,1994,2008,993,87.5,0.141,1.4,25.4,29812,4,1,3,26.9
Corie Blount,CHI,1993,1,25,24.183,F,University of Cincinnati,1994,2004,644,18.2,0.088,-1.0,2.4,9925,17,16,18,4.0
Geert Hammink,ORL,1993,1,26,23.359,C,Louisiana State University,1994,1996,8,0.1,0.089,-8.4,0.0,27,32,32,32,-3.2
Malcolm Mackey,PHO,1993,1,27,22.360,F-C,Georgia Institute of Technology,1994,1994,22,0.1,0.036,-10.7,-0.2,69,33,33,33,-2.7
Lucious Harris,DAL,1993,2,28,22.200,G,California State University Long Beach,1994,2005,800,28.7,0.088,-1.9,0.5,15701,20,17,20,6.3
Sherron Mills,MIN,1993,2,29,,,Virginia Commonwealth University,,,,,,,,,34,34,34,0
Gheorghe Muresan,WSB,1993,2,30,22.142,C,,1994,2000,307,19.0,0.136,-0.5,2.5,6729,15,2,17,8.3
Evers Burns,SAC,1993,2,31,21.316,F,University of Maryland,1994,1994,23,0.1,0.020,-4.8,-0.1,143,35,35,35,0
Alphonso Ford,PHI,1993,2,32,21.248,G,Mississippi Valley State University,1994,1995,11,-0.4,-0.153,-9.9,-0.2,114,36,36,36,0
Eric Riley,DAL,1993,2,33,23.034,C,University of Michigan,1994,1999,186,2.5,0.066,-3.0,-0.5,1844,23,21,21,5.3
Darnell Mee,GSW,1993,2,34,22.145,G,Western Kentucky University,1994,1995,40,-0.1,-0.020,-3.6,-0.1,293,37,37,37,0
Ed Stokes,MIA,1993,2,35,21.306,C,University of Arizona,1998,1998,4,0.0,-0.077,-5.4,0.0,17,38,38,38,0
John Best,NJN,1993,2,36,,,Tennessee Technological University,,,,,,,,,39,39,39,0
Nick Van Exel,LAL,1993,2,37,21.221,G,University of Cincinnati,1994,2006,880,55.9,0.093,-0.4,11.4,28969,14,12,9,17.2
Conrad McRae,WSB,1993,2,38,,,Syracuse University,,,,,,,,,40,40,40,0
Thomas Hill,IND,1993,2,39,,,Duke University,,,,,,,,,41,41,41,0
Rich Manning,ATL,1993,2,40,23.013,C,University of Washington,1996,1997,55,-0.3,-0.028,-10.0,-1.0,512,42,42,42,0
Anthony Reed,CHI,1993,2,41,,,Tulane University,,,,,,,,,43,43,43,0
Adonis Jordan,SEA,1993,2,42,22.319,G,University of Kansas,1994,1999,10,0.0,-0.015,-7.7,-0.1,97,44,44,44,0
Josh Grant,DEN,1993,2,43,25.334,F,University of Utah,1994,1994,53,0.5,0.060,-2.8,-0.1,382,45,45,45,0
Alex Holcombe,SAC,1993,2,44,,,Baylor University,,,,,,,,,46,46,46,0
Bryon Russell,UTA,1993,2,45,22.187,F,California State University Long Beach,1994,2006,841,47.4,0.115,1.7,18.5,19805,3,5,4,24.3
Richard Petruska,HOU,1993,2,46,24.162,C-F,University of California Los Angeles,1994,1994,22,0.0,-0.014,-10.8,-0.2,92,47,47,47,0
Chris Whitney,SAS,1993,2,47,21.274,G,Clemson University,1994,2004,579,21.2,0.101,-1.2,2.0,10052,19,9,19,7.8
Kevin Thompson,POR,1993,2,48,22.149,C-F,North Carolina State University,1994,1994,14,0.0,-0.016,-5.6,-0.1,58,48,48,48,0
Mark Buford,PHO,1993,2,49,,,Mississippi Valley State University,,,,,,,,,49,49,49,0
Marcelo Nicola,HOU,1993,2,50,,,,,,,,,,,,50,50,50,0
Spencer Dunkley,IND,1993,2,51,,,University of Delaware,,,,,,,,,51,51,51,0
Mike Peplowski,SAC,1993,2,52,22.264,C,Michigan State University,1994,1996,68,1.0,0.067,-2.9,-0.2,705,52,52,52,0
Leonard White,LAC,1993,2,53,,,Southern University and A&amp;M College,,,,,,,,,53,53,53,0
Byron Wilson,PHO,1993,2,54,,,University of Utah,,,,,,,,,54,54,54,0
Glenn Robinson,MIL,1994,1,1,21.175,F,Purdue University,1995,2005,688,39.8,0.075,-0.4,10.3,25346,13,20,10,-67.9
Jason Kidd,DAL,1994,1,2,21.103,G,University of California,1995,2013,1391,138.6,0.133,4.2,78.2,50111,1,3,1,33.1
Grant Hill,DET,1994,1,3,21.272,F-G,Duke University,1995,2013,1026,99.9,0.138,2.8,42.5,34776,3,2,3,0.0
Donyell Marshall,MIN,1994,1,4,21.047,F,University of Connecticut,1995,2009,957,59.0,0.113,1.0,19.1,25027,6,7,4,0.0
Juwan Howard,WSB,1994,1,5,21.147,F,University of Michigan,1995,2013,1208,59.4,0.078,-0.9,10.1,36654,15,17,11,-3.7
Sharone Wright,PHI,1994,1,6,21.155,F-C,Clemson University,1995,1998,203,1.4,0.015,-5.6,-4.1,4531,38,38,39,-17.4
Lamond Murray,LAC,1994,1,7,21.075,F,University of California,1995,2006,736,19.8,0.052,-1.7,1.4,18477,19,29,16,-11.5
Brian Grant,SAC,1994,1,8,22.121,F,Xavier University,1995,2006,756,54.5,0.122,-0.1,10.4,21417,9,5,9,-1.5
Eric Montross,BOS,1994,1,9,22.285,C,University of North Carolina,1995,2002,465,8.5,0.048,-3.4,-3.0,8479,32,30,38,-13.4
Eddie Jones,LAL,1994,1,10,22.258,G-F,Temple University,1995,2008,954,100.6,0.147,3.5,45.1,32778,2,1,2,34.8
Carlos Rogers,SEA,1994,1,11,23.149,C-F,Tennessee State University,1995,2002,298,11.1,0.095,-1.8,0.2,5654,21,14,20,-9.9
Khalid Reeves,MIA,1994,1,12,21.354,G,University of Arizona,1995,2000,277,8.4,0.069,-1.6,0.6,5837,18,23,17,-8.1
Jalen Rose,DEN,1994,1,13,21.155,G-F,University of Michigan,1995,2007,923,47.2,0.081,-0.3,11.9,27925,11,16,8,5.2
Yinka Dare,NJN,1994,1,14,21.267,C,George Washington University,1995,1998,110,-0.7,-0.033,-9.8,-2.0,1002,39,39,36,-7.5
Eric Piatkowski,IND,1994,1,15,23.278,G-F,University of Nebraska,1995,2008,789,31.0,0.102,-0.5,5.5,14613,14,11,14,2.7
Clifford Rozier,GSW,1994,1,16,21.246,C-F,University of Louisville,1995,1998,173,3.9,0.063,-2.1,-0.1,2984,23,24,23,-1.5
Aaron McKie,POR,1994,1,17,21.275,G,Temple University,1995,2007,793,40.0,0.100,0.7,12.9,19156,7,13,7,12.3
Eric Mobley,MIL,1994,1,18,24.154,C,University of Pittsburgh,1995,1997,113,1.1,0.034,-4.0,-0.8,1570,36,36,32,-1.3
Tony Dumas,DAL,1994,1,19,21.313,G,University of Missouri-Kansas City,1995,1998,156,1.3,0.027,-4.8,-1.6,2222,37,37,34,-1.9
B.J. Tyler,PHI,1994,1,20,23.066,G,University of Texas at Austin,1995,1995,55,-0.7,-0.039,-7.2,-1.1,809,40,40,40,-4.3
Dickey Simpkins,CHI,1994,1,21,22.089,F,Providence College,1995,2002,327,4.7,0.044,-3.8,-2.3,5201,35,34,37,-2.5
Bill Curley,SAS,1994,1,22,22.036,F,Boston College,1995,2001,147,1.6,0.047,-3.6,-0.6,1614,34,31,31,-0.7
Wesley Person,PHO,1994,1,23,23.099,G,Auburn University,1995,2005,733,44.0,0.102,0.6,13.8,20727,8,12,5,13.9
Monty Williams,NYK,1994,1,24,22.270,F,University of Notre Dame,1995,2003,456,11.4,0.072,-1.8,0.5,7624,22,22,18,0.6
Greg Minor,LAC,1994,1,25,22.290,G-F,University of Louisville,1995,1999,277,8.2,0.077,-2.2,-0.3,5144,25,18,27,-0.1
Charlie Ward,NYK,1994,1,26,23.266,G,Florida State University,1995,2005,630,33.0,0.113,1.8,13.3,14080,4,8,6,13.5
Brooks Thompson,ORL,1994,1,27,23.351,G,Oklahoma State University,1995,1998,168,2.0,0.057,-1.7,0.1,1714,20,27,22,0.4
Deon Thomas,DAL,1994,2,28,,,University of Illinois at Urbana-Champaign,,,,,,,,,41,41,41,-3.8
Antonio Lang,PHO,1994,2,29,22.050,F-G,Duke University,1995,2000,143,1.7,0.057,-2.8,-0.3,1395,30,28,28,0.1
Howard Eisley,MIN,1994,2,30,21.212,G,Boston College,1995,2006,786,19.5,0.058,-2.2,-1.0,16013,26,26,33,-0.5
Rodney Dent,ORL,1994,2,31,,,University of Kentucky,,,,,,,,,42,42,42,-3.5
Jim McIlvaine,WSB,1994,2,32,21.339,C,Marquette University,1995,2001,401,9.4,0.076,-0.1,2.8,5927,10,19,15,3.6
Derrick Alston,PHI,1994,2,33,21.318,F,Duquesne University,1995,1997,139,2.6,0.047,-2.1,-0.1,2657,24,32,24,0.9
Gaylon Nickerson,ATL,1994,2,34,25.150,G,Northwestern Oklahoma State University,1997,1997,4,0.1,0.076,-7.0,-0.1,42,43,43,43,-2.5
Michael Smith,SAC,1994,2,35,22.098,F,Providence College,1995,2001,449,23.4,0.107,1.3,8.7,10552,5,10,12,10.3
Andrei Fetisov,BOS,1994,2,36,,,,,,,,,,,,44,44,44,-2.1
Dontonio Wingfield,SEA,1994,2,37,20.011,F,University of Cincinnati,1995,1998,114,1.8,0.074,-1.4,0.2,1146,17,21,21,2.5
Darrin Hancock,CHH,1994,2,38,22.244,G-F,University of Kansas,1995,1997,133,1.1,0.038,-3.4,-0.5,1395,33,35,30,2.5
Anthony Miller,GSW,1994,2,39,22.256,F,Michigan State University,1995,2005,181,3.8,0.110,-2.4,-0.2,1637,28,9,25,3.9
Jeff Webster,MIA,1994,2,40,23.136,F,University of Oklahoma,1996,1996,11,0.0,-0.030,-5.8,-0.1,58,45,45,45,0
William Njoku,IND,1994,2,41,,,,,,,,,,,,46,46,46,0
Gary Collier,CLE,1994,2,42,,,University of Tulsa,,,,,,,,,47,47,47,0
Shawnelle Scott,POR,1994,2,43,22.018,C,St. John's University,1997,2002,105,1.3,0.101,-3.1,-0.2,634,48,48,48,0
Damon Bailey,IND,1994,2,44,,,Indiana University,,,,,,,,,49,49,49,0
Dwayne Morton,GSW,1994,2,45,22.331,F,University of Louisville,1995,1995,41,0.2,0.025,-5.1,-0.3,395,50,50,50,0
Voshon Lenard,MIL,1994,2,46,21.051,G,University of Minnesota,1996,2006,565,29.6,0.093,-0.3,6.7,15349,12,15,13,10.8
Jamie Watson,UTA,1994,2,47,22.132,F,University of South Carolina,1995,1999,102,1.2,0.045,-1.0,0.3,1248,16,33,19,4.4
Jevon Crudup,DET,1994,2,48,,,University of Missouri,,,,,,,,,51,51,51,0
Kris Bruton,CHI,1994,2,49,,,Benedict College,,,,,,,,,52,52,52,0
Charles Claxton,PHO,1994,2,50,23.204,C,University of Georgia,1996,1996,3,0.0,-0.179,-11.1,0.0,7,53,53,53,0
Lawrence Funderburke,SAC,1994,2,51,23.202,F,Ohio State University,1998,2005,318,12.9,0.131,-2.2,-0.2,4726,27,4,26,3.9
Anthony Goldwire,PHO,1994,2,52,22.302,G,University of Houston,1996,2006,266,6.4,0.062,-3.3,-1.6,4951,31,25,35,2.5
Albert Burditt,HOU,1994,2,53,,,University of Texas at Austin,,,,,,,,,54,54,54,0
Zeljko Rebraca,SEA,1994,2,54,22.086,C,,2002,2006,215,8.3,0.121,-2.5,-0.4,3280,29,6,29,3.7
Joe Smith,GSW,1995,1,1,19.342,F,University of Maryland,1996,2011,1030,60.3,0.107,-1.1,5.9,27022,16,12,13,-88.1
Antonio McDyess,LAC,1995,1,2,20.299,F-C,University of Alabama,1996,2011,1015,69.8,0.119,0.3,16.4,28053,8,6,5,-21.1
Jerry Stackhouse,PHI,1995,1,3,20.240,G-F,University of North Carolina,1996,2013,970,52.4,0.083,-0.3,12.8,30222,13,20,9,-16.4
Rasheed Wallace,WSB,1995,1,4,20.289,F-C,University of North Carolina,1996,2013,1109,105.1,0.139,2.1,37.5,36243,3,3,2,10.3
Kevin Garnett,MIN,1995,1,5,19.044,F,,1996,2016,1462,191.4,0.182,5.4,94.0,50418,1,1,1,77.6
Bryant Reeves,VAN,1995,1,6,22.025,C,Oklahoma State University,1996,2001,395,13.0,0.052,-2.6,-1.8,12071,25,25,30,-17.2
Damon Stoudamire,TOR,1995,1,7,21.303,G,University of Arizona,1996,2008,878,55.4,0.091,0.1,15.4,29106,10,16,6,0.3
Shawn Respert,POR,1995,1,8,23.148,G,Michigan State University,1996,1999,172,2.1,0.043,-3.6,-0.9,2350,28,26,25,-14.1
Ed O'Bannon,NJN,1995,1,9,22.323,F,University of California Los Angeles,1996,1997,128,1.1,0.025,-3.8,-1.0,2062,30,32,27,-13.8
Kurt Thomas,MIA,1995,1,10,22.272,F,Texas Christian University,1996,2013,1110,64.2,0.114,-0.1,13.2,27160,11,7,8,3.2
Gary Trent,MIL,1995,1,11,20.284,F,Ohio University,1996,2004,506,23.2,0.113,-1.3,1.7,9866,17,8,18,-7.5
Cherokee Parks,DAL,1995,1,12,22.265,C-F,Duke University,1996,2004,472,11.8,0.076,-2.1,-0.1,7459,21,21,21,-7.0
Corliss Williamson,SAC,1995,1,13,21.211,F,University of Arkansas,1996,2007,822,34.7,0.089,-2.4,-1.9,18749,23,18,32,-7.8
Eric Williams,BOS,1995,1,14,22.351,F,Providence College,1996,2007,658,23.2,0.071,-2.4,-1.8,15731,24,23,31,-6.1
Brent Barry,DEN,1995,1,15,23.185,G,Oregon State University,1996,2009,912,70.5,0.143,2.6,27.2,23643,2,2,4,23.2
Alan Henderson,ATL,1995,1,16,22.213,F,Indiana University,1996,2007,652,28.0,0.097,-1.7,1.1,13780,19,14,19,-1.3
Bob Sura,CLE,1995,1,17,22.100,G,Florida State University,1996,2005,657,28.3,0.087,0.3,9.2,15597,9,19,11,6.8
Theo Ratliff,DET,1995,1,18,22.077,C-F,University of Wyoming,1996,2011,810,47.9,0.112,0.9,15.1,20500,5,9,7,13.4
Randolph Childress,DET,1995,1,19,22.285,G,Wake Forest University,1996,1997,51,-0.2,-0.026,-6.4,-0.4,405,36,36,36,-3.5
Jason Caffey,CHI,1995,1,20,22.021,F,University of Alabama,1996,2003,462,13.5,0.072,-2.7,-1.6,9045,26,22,29,-1.9
Michael Finley,PHO,1995,1,21,22.119,G-F,University of Wisconsin,1996,2010,1103,85.2,0.108,1.0,29.2,37996,4,11,3,29.3
George Zidek,CHH,1995,1,22,21.335,C,University of California Los Angeles,1996,1998,135,0.8,0.029,-7.5,-1.9,1328,35,30,33,-1.7
Travis Best,IND,1995,1,23,22.356,G,Georgia Institute of Technology,1996,2005,708,30.9,0.098,-0.9,4.0,15150,14,13,15,4.7
Loren Meyer,DAL,1995,1,24,22.185,C,Iowa State University,1996,1999,140,0.5,0.012,-6.2,-2.2,2044,34,33,34,-1.4
David Vaughn,ORL,1995,1,25,22.102,F,University of Memphis,1996,1999,118,0.6,0.026,-5.5,-1.0,1156,33,31,28,-0.1
Sherell Ford,SEA,1995,1,26,22.311,F,University of Illinois at Chicago,1996,1996,28,0.4,0.124,-4.9,-0.1,139,37,37,37,-1.5
Mario Bennett,PHO,1995,1,27,21.336,F,Arizona State University,1996,2000,68,1.9,0.153,0.3,0.3,606,38,38,38,-1.4
Greg Ostertag,UTA,1995,1,28,22.119,C,University of Kansas,1996,2006,756,33.8,0.110,0.7,10.0,14753,6,10,10,11.0
Cory Alexander,SAS,1995,1,29,22.011,G,University of Virginia,1996,2005,307,3.0,0.030,-2.2,-0.2,4847,22,28,22,1.4
Lou Roe,DET,1995,2,30,22.354,F,University of Massachusetts Amherst,1996,1997,66,0.0,-0.001,-5.7,-0.5,479,39,39,39,-0.6
Dragan Tarlac,CHI,1995,2,31,22.055,C,,2001,2001,43,-0.2,-0.016,-6.3,-0.7,598,40,40,40,-0.6
Terrence Rencher,WSB,1995,2,32,22.134,G,University of Texas at Austin,1996,1996,36,-0.2,-0.021,-5.5,-0.4,405,41,41,41,-0.5
Junior Burrough,BOS,1995,2,33,22.166,F,University of Virginia,1996,1996,61,-0.2,-0.018,-7.9,-0.7,495,42,42,42,-0.5
Andrew DeClercq,GSW,1995,2,34,22.152,F-C,University of Florida,1996,2005,587,19.3,0.094,-1.0,2.4,9847,15,15,16,4.6
Jimmy King,TOR,1995,2,35,21.328,G,University of Michigan,1996,1997,64,0.0,0.001,-5.5,-0.8,890,43,43,43,0.0
Lawrence Moten,VAN,1995,2,36,23.100,G,Syracuse University,1996,1998,119,0.0,0.001,-3.7,-0.8,1814,29,35,24,1.6
Frankie King,LAL,1995,2,37,23.027,G,Western Carolina University,1996,1997,13,0.0,0.025,-4.2,0.0,79,44,44,44,0
Rashard Griffith,MIL,1995,2,38,,,University of Wisconsin,,,,,,,,,45,45,45,0
Donny Marshall,CLE,1995,2,39,22.351,F,University of Connecticut,1996,2003,119,0.9,0.045,-4.7,-0.6,919,46,46,46,0
Dwayne Whitfield,GSW,1995,2,40,22.316,F,Jackson State University,1996,1996,8,0.0,0.010,-8.5,-0.2,122,47,47,47,0
Erik Meek,HOU,1995,2,41,,,Duke University,,,,,,,,,48,48,48,0
Donnie Boyce,ATL,1995,2,42,21.304,G,University of Colorado,1996,1997,30,-0.3,-0.064,-5.6,-0.2,195,49,49,49,0
Eric Snow,MIL,1995,2,43,22.070,G,Michigan State University,1996,2008,846,43.4,0.090,-1.3,4.3,23132,18,17,14,6.7
Anthony Pelle,DEN,1995,2,44,,,California State University Fresno,,,,,,,,,50,50,50,0
Troy Brown,ATL,1995,2,45,,,Providence College,,,,,,,,,51,51,51,0
George Banks,MIA,1995,2,46,,,University of Texas at El Paso,,,,,,,,,52,52,52,0
Tyus Edney,SAC,1995,2,47,22.139,G,University of California Los Angeles,1996,2001,226,6.8,0.068,-2.7,-0.9,4743,27,24,26,1.5
Mark Davis,MIN,1995,2,48,22.068,G-F,Texas Tech University,1996,2000,230,2.3,0.030,-1.7,0.3,3681,20,29,20,2.7
Jerome Allen,MIN,1995,2,49,22.156,G,University of Pennsylvania,1996,1997,117,0.2,0.006,-4.2,-0.7,1305,32,34,23,1.7
Martin Lewis,GSW,1995,2,50,20.066,F,Seward County Community College,1996,1997,25,0.1,0.026,-5.8,-0.2,239,53,53,53,0
Dejan Bodiroga,SAC,1995,2,51,,,,,,,,,,,,54,54,54,0
Fred Hoiberg,IND,1995,2,52,22.261,G,Iowa State University,1996,2005,541,27.6,0.133,0.7,6.9,9978,7,4,12,9.3
Constantin Popa,LAC,1995,2,53,,,University of Miami,,,,,,,,,55,55,55,0
Aurelijius Zukauskas,SEA,1995,2,54,,,,,,,,,,,,56,56,56,0
Michael McDonald,GSW,1995,2,55,26.141,C,University of New Orleans,1998,1998,1,-0.1,-0.638,-23.4,0.0,4,57,57,57,0
Chris Carr,PHO,1995,2,56,21.113,G,Southern Illinois University,1996,2001,297,3.9,0.042,-4.1,-2.4,4505,31,27,35,0.0
Cuonzo Martin,ATL,1995,2,57,23.284,G-F,Purdue University,1996,1997,7,-0.1,-0.151,-8.6,-0.1,32,58,58,58,0
Don Reid,DET,1995,2,58,21.185,F,Georgetown University,1996,2003,403,13.7,0.123,-0.2,2.4,5374,12,5,17,4.8
Allen Iverson,PHI,1996,1,1,21.025,G,Georgetown University,1997,2010,914,99.0,0.126,2.7,44.1,37584,4,9,3,-28.0
Marcus Camby,TOR,1996,1,2,22.102,C-F,University of Massachusetts Amherst,1997,2013,973,81.6,0.137,2.9,35.6,28684,3,7,4,-22.5
Shareef Abdur-Rahim,VAN,1996,1,3,19.202,F,University of California,1997,2008,830,71.2,0.118,0.9,21.1,28882,9,10,9,-23.0
Stephon Marbury,MIL,1996,1,4,19.131,G,Georgia Institute of Technology,1997,2009,846,77.5,0.117,1.2,25.6,31891,8,11,6,-10.0
Ray Allen,MIN,1996,1,5,20.347,G,University of Connecticut,1997,2014,1300,145.1,0.150,3.0,58.1,46344,2,3,2,26.9
Antoine Walker,BOS,1996,1,6,19.323,F,University of Kentucky,1997,2008,893,38.1,0.058,0.8,21.9,31531,10,29,8,-3.7
Lorenzen Wright,LAC,1996,1,7,20.240,F-C,University of Memphis,1997,2009,778,30.5,0.079,-2.0,0.0,18535,22,21,22,-23.9
Kerry Kittles,NJN,1996,1,8,22.020,G,Villanova University,1997,2005,507,44.8,0.127,1.9,16.9,16929,5,8,10,-5.0
Samaki Walker,DAL,1996,1,9,20.127,F,University of Louisville,1997,2006,445,14.2,0.089,-3.0,-1.8,7612,26,17,30,-22.9
Erick Dampier,IND,1996,1,10,20.353,C,Mississippi State University,1997,2012,987,52.7,0.105,0.2,13.1,24003,13,13,12,-3.8
Todd Fuller,GSW,1996,1,11,21.342,C,North Carolina State University,1997,2001,225,2.2,0.041,-7.1,-3.2,2500,35,31,32,-17.1
Vitaly Potapenko,CLE,1996,1,12,21.103,C,Wright State University,1997,2007,610,15.5,0.064,-3.5,-4.4,11608,30,26,35,-17.5
Kobe Bryant,CHH,1996,1,13,17.312,G-F,,1997,2016,1346,172.7,0.170,3.9,72.1,48637,1,1,1,59.1
Peja Stojakovic,SAC,1996,1,14,19.022,F-G,,1999,2011,804,82.6,0.147,1.5,23.9,26966,6,4,7,14.6
Steve Nash,PHO,1996,1,15,22.145,G,Santa Clara University,1997,2014,1217,129.7,0.164,1.3,31.2,38069,7,2,5,22.2
Tony Delk,CHH,1996,1,16,22.155,G,University of Kentucky,1997,2006,545,19.5,0.080,-1.3,2.1,11702,17,19,17,-2.8
Jermaine O'Neal,POR,1996,1,17,17.261,F-C,,1997,2014,1011,66.0,0.116,0.0,13.9,27364,14,12,11,11.8
John Wallace,NYK,1996,1,18,22.143,F,Syracuse University,1997,2004,381,6.4,0.050,-4.5,-3.8,6143,34,30,33,-5.7
Walter McCarty,NYK,1996,1,19,22.151,F,University of Kentucky,1997,2006,593,13.7,0.064,-1.4,1.7,10374,19,27,19,0.0
Zydrunas Ilgauskas,CLE,1996,1,20,21.027,C,,1998,2011,843,66.3,0.139,0.3,13.0,22965,12,6,13,12.2
Dontae' Jones,NYK,1996,1,21,21.030,F,Mississippi State University,1998,1998,15,-0.3,-0.175,-11.8,-0.2,91,36,36,36,-4.8
Roy Rogers,VAN,1996,1,22,22.317,F,University of Alabama,1997,2000,137,1.7,0.035,-3.3,-0.7,2309,29,34,27,-0.7
